STATE,CLUSTER,HOMEOWNR,GENDER,DATASRCE,SOLIH,VETERANS,RFA_2R,RFA_2A,GEOCODE2,DOMAIN_A,DOMAIN_B
TX,40,H,M,3,,Y,L,F,A,T,2
GA,44,H,F,2,,N,L,F,B,R,2
other,53,H,M,2,,N,L,F,D,R,3
TX,40,H,F,3,,Y,L,F,A,T,2
GA,46,H,M,3,,N,L,F,D,R,2
NC,17,H,F,3,,N,L,D,B,S,2
FL,28,N,M,3,,N,L,G,B,C,2
IL,43,N,F,0,,N,L,E,A,R,2
CA,7,N,F,0,,N,L,G,A,U,2
IN,45,U,M,2,,N,L,G,D,R,2
CA,37,H,F,2,,N,L,D,C,T,2
other,40,H,C,3,,Y,L,G,D,T,2
other,14,U,F,2,,N,L,F,B,S,1
NC,53,N,F,0,,Y,L,F,D,R,3
CA,10,H,M,2,12,N,L,E,A,U,4
MI,24,H,F,3,,N,L,F,A,C,1
other,38,N,F,0,,N,L,G,A,T,2
IL,21,H,M,2,,N,L,E,A,S,3
CA,13,H,F,2,,N,L,F,A,S,1
FL,9,H,F,3,,N,L,F,A,U,3
WI,11,H,M,1,,N,L,G,B,S,1
FL,28,U,M,1,,N,L,F,B,C,2
TX,11,H,F,3,,N,L,E,A,S,1
other,46,U,M,2,,N,L,F,D,R,2
CA,7,N,F,0,,N,L,F,A,U,2
GA,43,U,F,1,,Y,L,F,B,R,2
CA,3,H,F,3,,N,L,F,A,U,1
other,28,H,M,1,,Y,L,F,C,C,2
FL,29,H,F,3,,N,L,G,B,C,2
TX,30,H,F,3,,N,L,G,C,C,3
other,25,N,M,0,,N,L,G,B,C,2
NC,45,H,F,2,,Y,L,F,D,R,2
other,31,H,M,3,,N,L,D,B,C,3
GA,18,H,M,3,,N,L,E,A,S,2
other,27,H,M,3,,N,L,E,C,C,2
other,45,N,F,0,,N,L,E,D,R,2
other,36,H,F,3,,N,L,F,C,T,2
MO,40,N,M,0,,N,L,D,C,T,2
FL,29,H,F,3,12,N,L,E,B,C,2
CA,13,N,M,0,,N,L,F,A,S,1
FL,4,U,F,2,12,N,L,F,A,U,2
other,12,U,F,2,,N,L,E,B,S,1
CA,10,H,F,3,,N,L,G,A,U,4
other,44,U,M,2,,N,L,E,B,R,2
TX,3,H,F,3,,N,L,G,A,U,1
CA,22,N,F,0,,N,L,G,A,C,1
other,41,N,F,0,,N,L,D,B,T,3
FL,18,H,M,3,12,N,L,G,B,S,2
other,51,U,F,2,,N,L,F,D,R,3
CA,13,H,M,3,,N,L,G,A,S,1
TX,24,U,U,1,,N,L,E,C,C,1
TX,49,H,M,3,12,N,L,F,D,R,2
NC,36,H,F,3,,N,L,F,D,T,2
CA,24,H,M,2,,N,L,G,A,C,1
other,12,H,F,3,,Y,L,F,B,S,1
other,13,H,M,3,,N,L,G,B,S,1
other,43,H,M,3,,N,L,G,B,R,2
other,24,H,F,3,,N,L,E,B,C,1
TX,13,H,M,3,12,N,L,G,A,S,1
other,18,H,F,3,,N,L,E,C,S,2
MO,39,U,M,3,,N,L,E,D,T,2
other,43,H,M,3,,N,L,F,D,R,2
FL,23,N,F,0,,N,L,D,B,C,1
FL,33,H,M,2,,N,L,F,A,C,3
CA,24,H,M,3,12,N,L,E,A,C,1
FL,49,N,F,0,,N,L,G,B,R,2
FL,40,U,F,2,,N,L,F,B,T,2
other,8,H,F,3,,N,L,F,A,U,3
other,8,U,M,1,,Y,L,E,B,U,3
other,31,H,F,2,,N,L,G,B,C,3
FL,37,H,F,2,,N,L,F,C,T,2
IL,13,H,F,3,,N,L,E,A,S,1
other,14,H,F,2,,N,L,F,A,S,1
IL,13,H,F,2,12,N,L,G,A,S,1
IL,30,H,F,3,,Y,L,G,B,C,3
MI,40,H,F,3,,N,L,F,A,T,2
CA,3,U,F,2,,N,L,F,A,U,1
MI,24,N,M,3,,N,L,F,C,C,1
IL,36,U,F,3,,N,L,G,B,T,2
TX,12,H,M,3,,N,L,G,B,S,1
MI,44,H,M,3,,N,L,F,A,R,2
other,40,H,F,2,,N,L,F,C,T,2
WA,40,H,M,2,12,N,L,E,A,T,2
IL,7,H,F,3,,N,L,F,A,U,2
FL,30,H,F,3,,N,L,F,B,C,3
MI,17,U,F,3,,N,L,G,A,S,2
MO,36,H,F,2,,N,L,F,D,T,2
IN,49,N,M,0,,N,L,F,C,R,2
CA,14,H,M,2,,Y,L,G,B,S,1
FL,28,H,F,3,,N,L,D,B,C,2
IN,44,N,M,0,,N,L,E,B,R,2
other,45,U,F,1,,N,L,F,B,R,2
TX,10,H,F,1,12,Y,L,E,C,U,4
CA,15,N,F,0,,N,L,G,A,S,1
TX,32,H,F,3,,N,L,G,A,C,3
other,36,U,M,3,,N,L,G,C,T,2
other,27,H,M,3,,N,L,F,C,C,2
FL,53,N,M,0,,N,L,E,C,R,3
other,51,U,M,3,,N,L,F,D,R,3
CA,24,H,F,3,,N,L,F,C,C,1
MI,36,N,F,0,,N,L,G,D,T,2
other,12,H,M,3,,N,L,E,B,S,1
other,30,U,M,2,,N,L,F,C,C,3
other,31,H,M,3,,N,L,E,C,C,3
NC,22,N,F,0,,N,L,E,B,C,1
other,31,N,M,0,,N,L,E,B,C,3
FL,22,U,F,2,,N,L,F,B,C,1
other,40,N,M,0,,N,L,F,B,T,2
GA,39,U,F,1,,N,L,F,B,T,2
CA,46,N,F,0,,N,L,E,B,R,2
GA,27,H,M,3,,N,L,F,B,C,2
MI,32,U,F,2,,N,L,F,B,C,3
FL,27,U,F,3,,N,L,D,B,C,2
other,16,H,F,2,,N,L,G,B,S,2
TX,40,U,F,2,12,N,L,F,A,T,2
CA,35,H,F,3,,N,L,G,A,T,1
MI,43,H,M,3,12,N,L,F,D,R,2
CA,44,H,F,3,,N,L,F,A,R,2
CA,10,U,F,2,,N,L,F,A,U,4
FL,9,N,F,0,,N,L,F,C,U,3
WA,27,H,F,3,,N,L,F,A,C,2
other,41,H,F,2,,N,L,F,D,T,3
NC,40,H,F,3,,N,L,E,D,T,2
other,10,N,J,0,,N,L,F,A,U,4
other,51,N,M,0,,N,L,F,D,R,3
CA,20,H,F,3,12,Y,L,G,A,S,2
FL,46,N,F,0,,N,L,E,B,R,2
other,51,N,M,0,,N,L,G,B,R,3
CA,1,H,F,3,,N,L,F,A,U,1
other,18,U,M,2,,Y,L,G,B,S,2
NC,38,U,F,2,,N,L,D,C,T,2
CA,35,H,F,3,,N,L,F,A,T,1
other,49,N,F,0,,N,L,E,D,R,2
TX,16,H,F,3,,N,L,F,A,S,2
FL,46,H,F,3,,N,L,F,C,R,2
CA,40,N,M,0,,N,L,G,B,T,2
GA,15,U,M,3,,N,L,G,C,S,1
MI,10,H,F,2,,N,L,D,A,U,4
other,5,H,M,3,,N,L,E,B,U,2
WA,40,H,M,3,,Y,L,E,A,T,2
GA,40,H,M,2,,Y,L,E,C,T,2
MI,38,H,F,3,,N,L,E,A,T,2
WA,39,H,M,2,,N,L,F,C,T,2
other,23,N,F,0,,N,L,F,A,C,1
CA,12,H,F,3,,N,L,G,A,S,1
FL,37,U,M,2,,N,L,F,B,T,2
WA,24,H,M,3,,N,L,F,C,C,1
TX,24,H,M,3,,Y,L,G,A,C,1
CA,10,H,F,3,,N,L,G,A,U,4
CA,30,H,M,3,,N,L,F,A,C,3
other,11,H,M,2,,Y,L,F,B,S,1
CA,2,H,M,2,,N,L,F,A,U,1
CA,46,H,F,2,,N,L,F,A,R,2
FL,23,H,M,3,,N,L,E,A,C,1
IN,24,N,M,0,,N,L,F,C,C,1
NC,32,U,M,3,,N,L,F,B,C,3
NC,51,N,F,0,,N,L,F,B,R,3
other,50,U,U,2,,N,L,G,D,R,3
FL,42,U,M,1,,N,L,E,D,R,1
other,11,N,M,0,,N,L,D,C,S,1
CA,40,H,F,3,,N,L,F,B,T,2
CA,12,H,F,2,,Y,L,F,A,S,1
IL,35,H,F,3,,N,L,E,C,T,1
IL,18,N,F,0,,N,L,F,A,S,2
CA,3,H,M,3,,N,L,F,A,U,1
other,43,U,M,3,,N,L,F,D,R,2
FL,40,H,F,2,12,N,L,F,B,R,2
FL,12,H,M,3,12,N,L,G,B,S,1
TX,12,H,F,3,,N,L,F,B,S,1
GA,12,H,F,2,,N,L,F,A,S,1
FL,29,H,F,3,,N,L,E,A,C,2
CA,4,U,F,1,,N,L,E,A,U,2
NC,22,H,F,3,,N,L,G,B,C,1
other,5,H,F,3,,N,L,E,A,U,2
CA,3,H,M,2,,Y,L,F,A,U,1
MO,15,H,M,2,,N,L,G,A,S,1
WI,18,H,F,3,,Y,L,E,A,S,2
MO,12,H,M,3,,Y,L,E,A,S,1
TX,49,H,F,2,,N,L,E,A,R,2
other,39,U,M,2,,N,L,E,D,T,2
FL,34,H,F,3,,N,L,F,B,T,1
other,46,N,M,0,,N,L,F,D,R,2
CA,35,H,M,3,,Y,L,F,B,T,1
MO,40,N,M,0,,N,L,D,D,T,2
CA,14,H,M,3,,N,L,F,A,S,1
other,37,H,F,3,,Y,L,F,D,T,2
other,17,N,F,0,,N,L,F,A,S,2
CA,35,H,M,2,,Y,L,G,A,T,1
CA,13,H,M,3,,N,L,E,A,S,1
other,38,U,M,3,,N,L,F,C,T,2
CA,10,N,F,0,,Y,L,F,A,U,4
FL,21,H,M,2,,N,L,F,A,S,3
IL,41,H,F,2,,N,L,E,D,T,3
other,21,H,F,2,,N,L,F,A,S,3
FL,37,H,F,2,,N,L,F,A,T,2
CA,24,N,F,0,,N,L,G,B,C,1
TX,24,H,M,3,,N,L,F,A,C,1
other,47,H,F,2,,N,L,F,D,R,2
MI,36,H,M,2,,N,L,F,C,T,2
other,36,H,M,3,,N,L,D,B,T,2
IN,36,U,F,3,12,N,L,F,D,T,2
CA,27,N,M,0,,N,L,E,C,C,2
other,10,N,F,0,,N,L,G,A,U,4
GA,14,H,M,3,,Y,L,F,A,S,1
other,15,U,M,2,,N,L,F,A,S,1
GA,25,H,F,3,,N,L,F,A,C,2
MI,39,H,M,3,,N,L,F,D,T,2
CA,15,N,F,0,,N,L,F,B,S,1
WI,49,U,M,3,,N,L,E,D,R,2
other,49,H,F,2,,N,L,F,D,R,2
MI,45,H,M,3,,N,L,E,C,R,2
MI,39,H,M,2,,N,L,F,D,T,2
GA,23,H,M,3,,N,L,E,A,C,1
TX,3,U,M,1,,Y,L,D,B,U,1
MO,43,H,M,3,,N,L,F,B,R,2
IL,35,H,U,2,,N,L,F,A,T,1
GA,27,H,F,1,,N,L,F,A,C,2
NC,27,H,M,3,,N,L,G,B,C,2
TX,18,H,F,3,,Y,L,G,A,S,2
IL,49,U,F,2,,N,L,G,C,R,2
CA,5,H,F,3,,N,L,F,B,U,2
other,46,H,F,2,,N,L,F,B,R,2
other,27,H,M,2,,N,L,D,C,C,2
CA,24,H,F,3,,N,L,F,A,C,1
MI,10,U,F,3,,N,L,F,A,U,4
NC,40,H,F,3,,N,L,F,D,T,2
CA,15,U,M,2,,N,L,F,A,S,1
other,41,H,M,2,12,N,L,F,A,T,3
WI,10,H,F,2,,N,L,E,B,U,4
GA,24,H,J,1,,N,L,F,A,C,1
IL,20,H,M,2,,Y,L,G,A,S,2
NC,17,H,F,3,,N,L,G,B,S,2
IL,8,H,M,2,,N,L,G,A,U,3
CA,35,H,F,2,,N,L,F,C,T,1
other,30,H,M,3,,Y,L,F,C,C,3
FL,25,N,F,0,,N,L,F,B,C,2
TX,30,H,F,2,,Y,L,F,A,C,3
other,4,H,F,3,,N,L,E,B,U,2
other,28,H,F,3,,N,L,F,C,C,2
NC,26,H,F,3,,N,L,F,B,C,2
WI,27,H,F,3,,N,L,F,B,C,2
MI,37,U,F,1,12,N,L,F,A,T,2
CA,2,U,F,1,,Y,L,F,A,U,1
TX,24,H,M,3,,N,L,F,C,C,1
IL,24,H,F,3,,N,L,F,C,C,1
CA,1,N,F,0,,N,L,E,A,U,1
other,30,H,F,3,,N,L,F,C,C,3
WA,46,N,M,0,,N,L,G,D,R,2
FL,37,H,M,2,,N,L,F,B,T,2
FL,29,N,F,0,,N,L,F,B,C,2
MO,3,N,F,0,,N,L,G,B,U,1
NC,40,N,M,3,,N,L,E,B,R,2
TX,14,H,F,3,,N,L,G,A,S,1
WI,53,H,F,2,,N,L,F,D,R,3
other,24,U,F,1,,N,L,F,B,C,1
MI,16,H,M,3,,Y,L,F,A,S,2
WA,11,U,M,3,,N,L,F,A,S,1
TX,22,H,M,2,,N,L,E,A,C,1
other,43,U,M,2,,N,L,E,D,R,2
other,53,N,F,0,,N,L,G,D,R,3
CA,37,N,F,0,,N,L,E,A,T,2
other,12,H,M,2,,N,L,F,B,S,1
TX,24,H,M,3,,N,L,F,C,C,1
MI,40,U,F,2,12,N,L,F,B,T,2
MI,21,H,M,3,,N,L,F,C,S,3
IL,12,H,M,3,,N,L,G,A,S,1
other,53,N,F,0,,N,L,D,D,R,3
CA,12,H,M,3,,N,L,F,B,S,1
TX,41,U,F,2,12,N,L,E,C,T,3
NC,24,H,M,3,,N,L,F,B,C,1
WI,18,H,F,1,,N,L,F,B,S,2
NC,36,U,M,2,,N,L,F,C,T,2
other,36,H,M,3,,N,L,F,D,T,2
other,41,H,F,3,,N,L,E,D,T,3
CA,10,H,F,1,,N,L,E,B,U,4
other,42,N,M,0,,N,L,F,D,R,1
FL,12,U,F,2,,N,L,D,A,S,1
other,41,H,F,3,,N,L,D,D,T,3
MI,17,H,M,2,,N,L,G,A,S,2
other,42,H,F,2,12,N,L,F,C,R,1
other,36,U,F,1,,N,L,E,B,T,2
IL,10,U,M,3,,N,L,E,A,U,4
IL,28,H,M,3,,N,L,G,A,C,2
WI,13,N,F,0,,N,L,F,B,S,1
WA,44,H,F,2,,N,L,E,A,R,2
CA,13,H,M,3,,N,L,F,A,S,1
IL,16,H,M,2,,N,L,G,A,S,2
other,44,U,F,3,,N,L,G,C,R,2
other,36,H,M,3,,Y,L,F,B,T,2
WI,11,N,M,0,,N,L,G,B,S,1
other,30,N,M,0,,N,L,F,C,C,3
NC,32,H,F,3,,N,L,E,C,C,3
WI,49,U,M,3,,N,L,F,D,R,2
FL,28,N,F,0,,N,L,D,A,C,2
IL,12,N,F,0,,N,L,F,A,S,1
MI,2,H,F,3,,N,L,F,A,U,1
CA,24,H,M,2,,N,L,G,B,C,1
MI,27,U,M,1,,N,L,D,A,C,2
CA,33,H,M,3,,N,L,E,A,C,3
FL,29,H,M,3,,N,L,F,C,C,2
CA,13,H,M,3,,Y,L,F,A,S,1
TX,34,H,M,3,,N,L,F,A,T,1
other,43,H,M,3,,N,L,F,B,R,2
IL,10,U,F,2,,N,L,F,A,U,4
other,36,U,M,1,,Y,L,F,B,T,2
other,24,H,F,2,,N,L,F,C,C,1
CA,29,H,M,3,0,N,L,G,A,C,2
other,36,N,F,0,,N,L,G,C,T,2
other,51,H,F,3,,N,L,G,B,R,3
CA,35,U,F,3,,N,L,E,A,T,1
other,28,N,F,0,,N,L,F,D,C,2
TX,40,H,M,1,12,N,L,G,A,T,2
NC,49,N,F,0,,N,L,G,C,R,2
FL,8,U,M,3,,N,L,F,A,U,3
IL,3,U,F,2,,N,L,F,A,U,1
other,45,U,U,3,,N,L,F,D,R,2
other,31,N,M,0,,N,L,G,D,C,3
other,26,U,F,3,,N,L,D,C,C,2
IL,46,H,M,3,,N,L,F,D,R,2
IN,27,H,M,3,,Y,L,F,B,C,2
other,12,H,M,3,,Y,L,D,B,S,1
MI,44,H,M,3,,N,L,F,C,R,2
CA,30,H,F,2,,N,L,E,A,C,3
other,35,N,F,0,,N,L,E,B,T,1
CA,26,U,F,3,,N,L,D,A,C,2
IN,27,N,F,0,,N,L,F,C,C,2
WI,12,U,F,3,,N,L,E,B,S,1
CA,18,H,M,2,,N,L,G,A,S,2
other,35,H,M,2,,N,L,E,B,T,1
CA,15,H,M,3,,N,L,G,A,S,1
other,39,H,F,3,,N,L,E,B,T,2
NC,50,U,F,1,,N,L,F,D,R,3
other,45,H,F,2,12,N,L,F,B,R,2
other,50,H,F,2,,N,L,D,D,R,3
FL,17,N,M,3,,N,L,E,B,S,2
TX,40,H,F,3,,N,L,G,B,R,2
other,7,U,F,2,,Y,L,F,A,U,2
other,43,U,M,3,,Y,L,E,D,R,2
other,36,H,F,2,,Y,L,G,C,T,2
other,10,N,M,0,,N,L,G,A,U,4
CA,3,H,F,3,12,N,L,G,A,U,1
MI,44,U,M,3,,N,L,G,C,R,2
FL,10,N,F,0,,N,L,F,A,U,4
other,27,H,F,3,,N,L,D,B,C,2
MI,40,N,F,3,,N,L,F,B,R,2
other,45,H,M,2,,N,L,F,D,R,2
NC,31,N,M,0,,N,L,G,B,C,3
other,30,U,F,3,12,N,L,F,B,C,3
CA,2,H,M,3,,N,L,F,A,U,1
MI,44,H,M,2,,N,L,E,C,R,2
other,51,U,M,3,,N,L,F,D,R,3
other,16,N,F,0,,N,L,F,B,S,2
FL,21,H,M,3,,N,L,F,A,S,3
MO,13,H,M,3,,N,L,F,A,S,1
other,44,U,M,2,,N,L,F,B,R,2
FL,29,H,M,3,,Y,L,D,C,C,2
MI,40,N,F,3,,N,L,F,A,R,2
other,40,N,M,0,,N,L,F,C,R,2
WA,35,H,M,3,,N,L,F,A,T,1
other,30,H,F,3,,N,L,F,B,C,3
other,45,U,M,1,,N,L,F,D,R,2
other,17,U,F,3,,N,L,F,B,S,2
CA,1,N,F,0,,N,L,D,A,U,1
other,36,H,M,3,,N,L,F,D,T,2
CA,5,N,F,0,,N,L,D,A,U,2
other,36,N,F,0,,N,L,F,B,T,2
IN,37,N,F,0,,N,L,F,D,T,2
CA,34,H,F,3,,N,L,E,A,T,1
TX,44,U,M,3,,N,L,E,C,R,2
WI,35,H,M,3,,N,L,F,B,T,1
CA,20,H,F,2,,N,L,F,A,S,2
CA,33,H,M,3,,N,L,G,A,C,3
CA,20,H,F,1,,N,L,F,B,S,2
IL,31,N,F,0,,N,L,E,B,C,3
MO,21,H,M,1,,N,L,F,B,S,3
FL,46,H,F,2,,N,L,F,D,R,2
CA,24,H,M,3,,N,L,F,A,C,1
TX,53,H,F,3,,Y,L,F,D,R,3
GA,8,H,M,3,,Y,L,G,A,U,3
CA,2,U,M,2,12,N,L,F,A,U,1
CA,31,N,F,0,,N,L,G,C,C,3
CA,13,H,F,2,,N,L,E,A,S,1
MO,36,N,F,0,,N,L,E,D,T,2
other,44,U,F,1,12,N,L,G,C,R,2
WA,12,U,F,3,,N,L,G,C,S,1
other,36,N,M,0,,N,L,F,D,T,2
MI,40,N,M,0,,N,L,F,A,T,2
other,17,H,M,3,,N,L,E,B,S,2
other,43,H,M,3,,Y,L,G,D,R,2
other,35,U,F,2,,N,L,F,C,T,1
WA,20,H,M,3,,N,L,E,A,S,2
other,40,N,F,0,,N,L,F,D,R,2
CA,8,H,M,2,12,Y,L,F,A,U,3
TX,21,H,M,3,,N,L,F,B,S,3
GA,32,N,F,0,,N,L,D,A,C,3
NC,17,H,M,3,,N,L,F,B,S,2
GA,43,H,F,3,,N,L,F,C,R,2
IN,39,H,F,2,,Y,L,G,C,T,2
NC,30,N,F,0,,N,L,F,B,C,3
CA,27,N,J,0,,N,L,E,A,C,2
WA,28,H,M,3,,N,L,F,C,C,2
MI,20,U,M,3,,N,L,E,A,S,2
FL,12,H,M,3,,N,L,G,A,S,1
CA,11,H,F,3,,N,L,G,A,S,1
CA,11,U,M,1,,N,L,G,A,S,1
other,24,H,M,2,,Y,L,E,B,C,1
MO,43,U,M,2,,N,L,F,D,R,2
other,49,N,M,0,,N,L,D,C,R,2
IN,51,U,F,2,,Y,L,E,C,R,3
TX,36,H,F,3,,N,L,F,D,T,2
other,45,H,M,3,,Y,L,F,D,R,2
IL,18,H,M,3,,N,L,F,A,S,2
TX,18,H,F,3,,N,L,E,B,S,2
CA,24,U,M,2,,N,L,F,C,C,1
FL,20,N,M,0,,N,L,G,A,S,2
FL,18,N,F,0,,N,L,E,B,S,2
IL,16,N,F,3,,N,L,G,A,S,2
GA,17,H,M,3,12,N,L,G,A,S,2
MI,36,U,F,3,,N,L,F,A,T,2
MI,31,U,F,1,,Y,L,G,C,C,3
CA,17,N,F,0,,N,L,E,A,S,2
other,45,N,F,0,,N,L,F,D,R,2
CA,20,H,M,2,,N,L,E,A,S,2
other,51,H,F,2,,N,L,D,C,R,3
IL,40,N,F,0,,N,L,D,D,T,2
CA,46,N,F,0,,N,L,E,C,R,2
WA,2,H,M,2,,N,L,G,A,U,1
other,14,H,M,3,,N,L,G,B,S,1
FL,15,N,F,0,,N,L,F,A,S,1
IL,44,U,F,1,12,N,L,E,C,R,2
other,39,H,M,3,,N,L,F,C,T,2
TX,32,H,F,3,,N,L,F,B,C,3
other,35,H,F,3,,N,L,F,D,T,1
IL,13,H,M,3,,N,L,F,A,S,1
CA,7,H,M,2,,N,L,F,B,U,2
NC,28,U,M,3,,N,L,F,D,C,2
other,51,N,M,0,,N,L,F,D,R,3
other,41,N,F,0,12,N,L,F,D,T,3
other,46,H,F,2,,N,L,F,B,R,2
MO,20,H,M,3,2,Y,L,F,B,S,2
CA,11,N,F,0,12,N,L,E,A,S,1
IL,13,H,M,2,,N,L,E,A,S,1
other,31,H,F,3,,N,L,F,B,C,3
MO,27,H,M,3,,N,L,D,A,C,2
other,40,H,M,3,12,N,L,G,D,R,2
other,36,U,F,1,,N,L,E,D,T,2
other,40,H,F,3,,N,L,F,B,T,2
other,27,N,M,0,,N,L,F,B,C,2
WA,44,H,F,3,,Y,L,G,C,R,2
TX,20,H,M,3,,N,L,E,A,S,2
IL,2,H,M,3,,N,L,F,A,U,1
CA,1,U,U,1,,N,L,E,A,U,1
MO,5,H,F,3,,N,L,F,A,U,2
FL,20,H,M,3,,N,L,E,B,S,2
other,48,H,F,3,,N,L,E,D,R,2
GA,40,H,M,3,,N,L,G,A,R,2
other,46,U,M,1,,N,L,E,D,R,2
other,40,U,F,3,,N,L,F,B,T,2
CA,19,H,F,3,,N,L,F,A,S,2
WA,18,N,M,0,,N,L,G,B,S,2
other,42,N,F,0,,N,L,F,D,R,1
other,49,N,F,0,,Y,L,E,C,R,2
other,31,N,F,0,,N,L,E,B,C,3
FL,25,H,F,2,,N,L,F,B,C,2
WA,45,N,M,3,,N,L,E,D,R,2
other,8,H,M,3,,N,L,E,A,U,3
other,24,H,F,3,,N,L,E,B,C,1
other,51,N,M,0,,N,L,F,D,R,3
IL,14,N,F,0,,N,L,F,A,S,1
FL,39,H,M,2,,N,L,F,B,T,2
other,49,N,M,0,,N,L,E,C,R,2
CA,13,N,M,0,12,N,L,F,A,S,1
other,21,H,F,3,,N,L,F,B,S,3
IL,21,N,F,0,,N,L,E,B,S,3
GA,51,U,F,3,,N,L,E,B,R,3
MO,53,U,F,1,12,N,L,G,D,R,3
FL,31,H,M,3,,N,L,F,A,C,3
MO,21,U,M,2,,N,L,E,B,S,3
CA,5,H,F,3,,N,L,F,A,U,2
FL,2,H,F,3,12,N,L,E,A,U,1
other,35,U,F,2,,N,L,E,C,T,1
IL,18,N,F,0,,N,L,F,A,S,2
IL,40,H,M,3,,N,L,G,B,T,2
CA,3,H,M,3,,N,L,E,A,U,1
IL,15,H,M,1,,N,L,F,A,S,1
MO,40,N,M,0,,N,L,E,A,T,2
CA,13,U,F,2,,N,L,F,A,S,1
other,27,U,F,3,,N,L,F,C,C,2
CA,14,U,F,2,,N,L,F,A,S,1
other,46,N,F,0,,N,L,F,A,R,2
other,43,N,F,0,,N,L,G,D,R,2
IL,35,H,M,3,,N,L,F,A,T,1
other,45,U,M,2,,N,L,F,D,R,2
WA,16,N,M,1,,N,L,D,A,S,2
other,51,H,F,3,,N,L,E,C,R,3
CA,15,H,F,1,12,Y,L,E,B,S,1
other,45,H,M,2,,N,L,F,A,R,2
WA,35,N,M,0,,N,L,F,C,T,1
other,53,U,F,2,,N,L,F,D,R,3
IN,11,H,F,3,,N,L,G,B,S,1
CA,11,H,F,2,,N,L,F,A,S,1
NC,49,U,F,3,,N,L,F,B,R,2
other,35,H,F,3,,N,L,F,B,T,1
MI,11,H,F,2,,N,L,F,B,S,1
FL,13,U,F,3,,N,L,F,B,S,1
other,29,U,F,3,,N,L,E,A,C,2
FL,46,U,M,2,,N,L,E,C,R,2
other,51,U,M,3,,N,L,E,C,R,3
IL,17,H,M,3,,N,L,F,A,S,2
MO,36,U,F,3,,N,L,D,D,T,2
other,44,N,M,0,,N,L,E,B,R,2
IL,24,H,M,2,,Y,L,F,C,C,1
other,13,N,M,0,,N,L,F,B,S,1
FL,26,H,M,3,,N,L,G,B,C,2
other,42,H,F,3,,Y,L,F,D,R,1
CA,20,H,M,3,,N,L,E,A,S,2
other,36,U,U,1,,N,L,E,D,T,2
FL,9,H,F,2,,Y,L,E,A,U,3
other,40,U,F,1,,N,L,D,B,T,2
